news_link,news_feed
https://www.cnn.com/2020/07/05/health/us-coronavirus-sunday/index.html,Some celebrated July 4th virtually while others packed beaches despite Covid-19 surge
https://www.npr.org/sections/health-shots/2020/07/05/884927215/my-gym-is-reopening-is-it-safe-to-work-out-there,Are Gyms Safe Right Now? What To Know About COVID-19 Risk While Working Out : Shots - Health News
https://dhhr.wv.gov/News/2020/Pages/COVID-19-Daily-Update-7-3-2020---10-AM.aspx,COVID-19 Daily Update 7-3-2020 - 10 AM
https://www.who.int/news-room/detail/04-07-2020-who-discontinues-hydroxychloroquine-and-lopinavir-ritonavir-treatment-arms-for-covid-19,WHO discontinues hydroxychloroquine and lopinavir/ritonavir treatment arms for COVID-19
https://www.governor.ny.gov/news/governor-cuomo-updates-new-yorkers-states-progress-during-covid-19-pandemic-3,Governor Cuomo Updates New Yorkers on State's Progress During COVID-19 Pandemic
https://www.cnn.com/2020/07/05/us/ticks-lyme-disease-covid-summer-scn-trnd/index.html,Why tick season could be worse in the summer of Covid-19
https://www.theatlantic.com/ideas/archive/2020/07/covid-19-wont-change-us-forever/613804/,COVID-19 Won’t Change Us Forever
https://www.fda.gov/news-events/press-announcements/coronavirus-covid-19-update-daily-roundup-july-2-2020,"Coronavirus (COVID-19) Update: Daily Roundup July 2, 2020"
https://calmatters.org/commentary/2020/07/newsom-now-owns-the-covid-19-pandemic/,Newsom now owns the COVID-19 pandemic
https://news.delaware.gov/2020/07/04/public-health-announces-73-additional-positive-cases-of-covid-19-in-delaware-no-new-deaths/,"Public Health Announces 73 Additional Positive Cases of COVID-19 in Delaware, No New Deaths"
https://www.adn.com/alaska-news/2020/07/04/alaska-reports-16th-death-tied-to-covid-19-and-55-more-resident-and-nonresident-cases/,Alaska reports 16th death tied to COVID-19 and 55 more resident and nonresident cases
https://www.thelancet.com/journals/lanrhe/article/PIIS2665-9913(20)30227-7/fulltext,"COVID-19 in patients with rheumatic disease in Hubei province, China: a multicentre retrospective observational study"
https://www.fda.gov/news-events/press-announcements/coronavirus-covid-19-update-daily-roundup-july-1-2020,"Coronavirus (COVID-19) Update: Daily Roundup July 1, 2020"
https://whyy.org/articles/delaware-group-collects-covid-19-history-for-future-research/,Delaware group collects COVID-19 history for future research
https://dailygazette.com/article/2020/07/04/wolff-s-biergarten-closes-doors-due-to-covid-19-concerns,Wolff's Biergarten closes doors due to COVID-19 concerns
https://www.npr.org/sections/health-shots/2020/07/04/885546281/why-some-young-people-fear-social-isolation-more-than-covid-19,Why Some Young People Fear Social Isolation More Than COVID-19
https://dhhr.wv.gov/News/2020/Pages/COVID-19-Daily-Update-7-2-2020---5-PM.aspx,COVID-19 Daily Update 7-2-2020 - 5 PM
https://madison.com/wsj/news/local/govt-and-politics/more-homeless-people-ditching-shelters-for-camp-sites-amid-covid-19-pandemic/article_6e279014-6560-514c-bc8e-05292337cfcd.html,More homeless people ditching shelters for camp sites amid COVID-19 pandemic
https://www.themonitor.com/2020/07/04/mcallen-rn-describes-despair-covid-19-intensive-care-unit/,McAllen RN describes despair in COVID-19 intensive care unit
https://urbanmilwaukee.com/2020/07/04/wi-daily-wisconsin-reports-biggest-one-day-covid-19-case-increase/,WI Daily: Wisconsin Reports Biggest One-Day COVID-19 Case Increase
https://www.technologyreview.com/2020/07/05/1004809/if-youre-over-75-catching-covid-19-is-like-playing-russian-roulette/,"If you’re over 75, catching covid-19 can be like playing Russian roulette"
https://www.post-gazette.com/business/career-workplace/2020/07/05/Office-COVID-19-coronavirus-PNC-Mellon-Peoples-Gas-Highmark/stories/202007050024,Local businesses in no hurry to bring employees back to the office amid COVID-19
https://www.texastribune.org/2020/07/04/ector-county-coronavirus-texas-censure-greg-abbott/,GOP leaders in Texas county censure governor over COVID-19 response
https://www.cidrap.umn.edu/news-perspective/2020/07/us-posts-largest-single-day-jump-new-covid-19-cases,US posts largest single-day jump in new COVID-19 cases
https://lancasteronline.com/news/local/sundays-covid-19-updates-pa-surpasses-89k-cases-to-date-4-5k-coming-from-lancaster/article_263aa5a0-beb8-11ea-a665-8f3d7957d786.html,"Sunday's COVID-19 Updates: Pa. surpasses 89K cases to date, 4.5K coming from Lancaster County"
https://www.fda.gov/news-events/press-announcements/coronavirus-covid-19-update-daily-roundup-june-30-2020,"Coronavirus (COVID-19) Update: Daily Roundup June 30, 2020"
https://www.ksat.com/news/local/2020/07/05/atascosa-county-emergency-management-coordinator-loses-battle-with-covid-19-officials-say/,Atascosa County emergency management coordinator loses battle with COVID-19
https://www.clickondetroit.com/news/local/2020/07/04/at-least-3-coronavirus-covid-19-cases-tied-to-lansing-veterinary-clinic-more-suspected/,"At least 3 coronavirus (COVID-19) cases tied to Lansing veterinary clinic, more suspected"
https://www.nbcnews.com/news/us-news/first-los-angeles-police-officer-dies-covid-19-n1232914,First Los Angeles police officer dies from COVID-19
https://hbr.org/2020/07/turn-your-covid-19-solution-into-a-viable-business,Turn Your Covid-19 Solution into a Viable Business
https://www.detroitnews.com/story/news/local/michigan/2020/07/04/michigan-adds-just-3-covid-19-deaths-nearly-400-new-cases/5376643002/,"Michigan adds 3 COVID-19 deaths, nearly 400 new cases"
https://www.1011now.com/2020/07/04/tracking-covid-19-in-nebraska/,Tracking COVID-19 in Nebraska
https://madison.com/wsj/news/local/education/university/as-covid-19-cases-increase-uw-madison-employee-concerns-about-fall-semester-grow/article_5b348adc-572a-5200-a2e2-e37f9941f108.html,"As COVID-19 cases increase, UW-Madison employee concerns about fall semester grow"
https://www.npr.org/sections/goatsandsoda/2020/07/04/886788377/international-flights-are-ramping-up-slowly-and-with-plenty-of-caveats,The New Normal For International Air Travel In The COVID-19 Era : Goats and Soda
https://newyork.cbslocal.com/2020/07/04/hoboken-mayor-confirms-highest-2-day-total-of-new-covid-19-cases-since-mid-may/,Hoboken Mayor Confirms Highest 2-Day Total Of New COVID-19 Cases Since Mid-May
https://www.cnn.com/2020/07/04/health/latin-america-coronavirus-health-systems-intl/index.html,Latin America sees half of all new Covid-19 infections as health systems flounder
https://www.sciencemag.org/news/2020/07/one-uk-trial-transforming-covid-19-treatment-why-haven-t-others-delivered-more-results,One U.K. trial is transforming COVID-19 treatment. Why haven't others delivered more results?
https://www.theguardian.com/us-news/2020/jul/04/us-coronavirus-cases-fourth-of-july-holiday,Trump claims 'victory' as US sees Covid-19 case records in multiple states
https://www.kbtx.com/2020/07/04/two-new-deaths-70-new-covid-19-cases-reported-in-brazos-county/,"Two new deaths, 70 new COVID-19 cases reported in Brazos County"
https://www.fda.gov/news-events/press-announcements/coronavirus-covid-19-update-daily-roundup-june-29-2020,"Coronavirus (COVID-19) Update: Daily Roundup June 29, 2020"
https://www.nbcnews.com/news/us-news/parents-are-opting-home-school-their-children-due-covid-19-n1232739,"Parents are opting to home-school their children due to COVID-19 pandemic, but experts say it might not be for everyone"
http://kutv.com/news/coronavirus/record-breaking-676-covid-19-cases-reported-in-utah-saturday-no-new-deaths,Record-breaking 676 COVID-19 cases reported in Utah Saturday; no new deaths
https://www.spokesman.com/stories/2020/jul/04/26-new-covid-19-cases-confirmed-in-spokane-ahead-o/,26 new COVID-19 cases confirmed in Spokane ahead of Independence Day celebrations
https://ktiv.com/2020/07/04/iowa-reports-508-additional-covid-19-cases-201-more-recoveries-and-no-new-deaths/,"Iowa reports 508 additional COVID-19 cases, 201 more recoveries and no new deaths"
